"City","Practice_Name","City.Rank","Compliance","Star_Rating","Numerator","Denominator","Needed4","Needed5","Med_Household","Address","Program","Stars_Par"
"Abington","ABINGTON PLAZA MEDICAL ASSOCIATES",1,0.75,2,3,4,NA,NA,77604.7622,"1235 Old York Road","","Y"
"Akron","AKRON FAMILY MED",1,1,5,3,3,NA,NA,52361.6772,"401 South 7th Street","","Y"
"Albion","ALBION FAMILY PRACTICE",1,0.878,5,36,41,0,0,45413.8463,"155 East State Street","TRUE PERFORMANCE AHN","Y"
"Albrightsville","CMS PENN KIDDER",2,0.923,5,12,13,0,0,52147.0647,"2588 State Route 903","TRUE PERFORMANCE","Y"
"Albrightsville","ST LUKES ALBRIGHTSVILLE INTERNAL MEDICINE",1,1,5,10,10,0,0,52147.0647,"2599 State Route 903","TRUE PERFORMANCE PLUS COMM","Y"
"Aliquippa","RANDY R SHEMER DO",7,0.789,2,60,76,4,6,49623.6499,"2424 Mill Street","TRUE PERFORMANCE AHN","Y"
"Aliquippa","MOKA, GANAPATHI  RAO, MD",1,0.9,5,9,10,0,0,49623.6499,"2450 Mill St","","Y"
"Aliquippa","SINGH, AMAR, J, MD",5,0.8,2,36,45,2,3,49623.6499,"1 Hospital Drive","TRUE PERFORMANCE PLUS COMM","Y"
"Aliquippa","HVMG JAMES TATUM",2,0.873,5,117,134,0,0,49623.6499,"2299 Brodhead Rd","TRUE PERFORMANCE PLUS COMM","Y"
"Aliquippa","HVMG FAMILY PRACTICE ASSOC HOPEWELL",4,0.821,3,147,179,2,7,49623.6499,"99 Buss Rd","TRUE PERFORMANCE PLUS COMM","Y"
"Aliquippa","SIA, JOSE K MD",5,0.8,2,16,20,1,2,49623.6499,"2285 Brodhead Road","","Y"
"Aliquippa","HVMG INTERNAL MEDICINE SPECIALISTS",3,0.86,5,154,179,0,0,49623.6499,"3113 Green Garden Rd","TRUE PERFORMANCE PLUS COMM","Y"
"Aliquippa","PERSONAL CARE MEDICAL ASSOCIATES LLC",8,0.779,2,74,95,5,8,49623.6499,"2349 Mill Street","","Y"
"Allentown","OAA ORTHOPAEDIC SPECIALISTS",45,0.5,1,3,6,NA,NA,66485.4639,"250 Cetronia Road","BUNDLES SHARED SAVINGS","Y"
"Allentown","VALLEY FAMILY PRACTICE",1,1,5,8,8,NA,NA,52682.3905,"2319 Union Boulevard","TRUE PERFORMANCE PLUS COMM","Y"
"Allentown","SACRED HEART PRIMARY CARE",43,0.6,1,3,5,NA,NA,66485.4639,"3570 Hamilton Boulevard","TRUE PERFORMANCE","Y"
"Allentown","OAKWOOD MEDICAL CENTER",16,0.917,5,11,12,0,0,27520.1629,"451 West Chew Street","TRUE PERFORMANCE","Y"
"Allentown","CEDAR CREST EMERGI CENTER",23,0.875,5,7,8,NA,NA,52682.3905,"1101 South Cedar Crest Boulevard","","Y"
"Allentown","BOGNET MEDICAL ASSOCIATES PC",46,0.429,1,3,7,NA,NA,52682.3905,"1275 South Cedar Crest Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","HANOVER FAMILY MEDICAL GROUP",35,0.8,2,20,25,1,2,40801.9732,"1202 Hanover Avenue","TRUE PERFORMANCE","Y"
"Allentown","LVPG GERIATRICS MEDICINE",23,0.875,5,7,8,NA,NA,66485.4639,"17th and Chew Streets","TRUE PERFORMANCE IND","Y"
"Allentown","LVPG INTERNAL MEDICINE 3080 HAMILTON BOULEVARD",28,0.833,4,35,42,0,2,52682.3905,"3080 Hamilton Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","LVPG LEHIGH VALLEY FAMILY HEALTH CENTER",1,1,5,9,9,NA,NA,66485.4639,"1730 Chew Street","TRUE PERFORMANCE IND","Y"
"Allentown","CONNELLY FAMILY PRACTICE",31,0.818,3,18,22,1,1,66485.4639,"501 North 17th Street","TRUE PERFORMANCE PLUS COMM","Y"
"Allentown","FAMILY PRACTICE JAMES MARTIN MD PC",28,0.833,4,5,6,NA,NA,52682.3905,"1148 S Cedar Crest Boulevard","","Y"
"Allentown","LVPG FAMILY MEDICINE 3080 HAMILTON BOULEVARD",13,0.95,5,38,40,0,0,52682.3905,"3080 Hamilton Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","LVPG FAMILY MEDICINE SOUTHSIDE",41,0.692,1,9,13,2,3,52682.3905,"141 E Emaus Avenue","TRUE PERFORMANCE IND","Y"
"Allentown","TOTAL FAMILY HEALTHCARE",1,1,5,19,19,0,0,52682.3905,"3050 Hamilton Boulevard","TRUE PERFORMANCE PLUS COMM","Y"
"Allentown","ALLENTOWN FAMILY PRACTICE",1,1,5,5,5,NA,NA,27520.1629,"450 Chew Street","TRUE PERFORMANCE","Y"
"Allentown","DAVID J SHINGLES DO PC",1,1,5,6,6,NA,NA,52682.3905,"1101 South Cedar Crest Boulevard","","Y"
"Allentown","VALLEY FAMILY CARE PC",43,0.6,1,3,5,NA,NA,80775.4288,"1150 Glenlivet Drive","","Y"
"Allentown","ST LUKES INTERNAL MEDICINE HAMILTON COURT",22,0.879,5,29,33,0,0,52682.3905,"3050 Hamilton Boulevard","TRUE PERFORMANCE PLUS COMM","Y"
"Allentown","LVPG BARIATRIC MEDICINE 1243 CEDAR CREST",1,1,5,3,3,NA,NA,52682.3905,"1243 South Cedar Crest Boulevard","","Y"
"Allentown","LVPG INTERNAL MEDICINE 1230 CEDAR CREST",27,0.843,4,97,115,0,2,52682.3905,"1230 South Cedar Crest Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","OBEID, EDMOND MD",35,0.8,2,4,5,NA,NA,66485.4639,"1720 West Fairmont Street","","Y"
"Allentown","ST LUKES INTERNAL MEDICINE ALLENTOWN",34,0.808,2,21,26,1,2,66485.4639,"1901 Hamilton Street","TRUE PERFORMANCE PLUS COMM","Y"
"Allentown","MCGORRY AND MATTA FAMILY MEDICINE",18,0.904,5,47,52,0,0,52682.3905,"3050 Hamilton Boulevard","TRUE PERFORMANCE PLUS COMM","Y"
"Allentown","JOHN F WOLF MD",23,0.875,5,14,16,0,0,52682.3905,"1255 South Cedar Crest Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","AMC MEDICAL ASSOCIATES",14,0.941,5,16,17,0,0,66485.4639,"401 North 17th Street","TRUE PERFORMANCE IND","Y"
"Allentown","THOMAS J CZAJKOWSKI MD",16,0.917,5,11,12,0,0,66485.4639,"3131 College Heights Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","LEHIGH VALLEY INTERNISTS",32,0.816,3,31,38,1,2,66485.4639,"798 Hausman Road","TRUE PERFORMANCE IND","Y"
"Allentown","ADULT MEDICINE AND GERIATRICS",33,0.813,3,13,16,1,1,66485.4639,"798 Hausman Road","TRUE PERFORMANCE IND","Y"
"Allentown","JOSEPH A HABIG II MD JACLYN M SPERRAZZA DO",1,1,5,8,8,NA,NA,66485.4639,"798 Hausman Road","TRUE PERFORMANCE IND","Y"
"Allentown","LEHIGH VALLEY PRIMARY CARE PHYSICIANS PRACTICE",39,0.75,2,6,8,NA,NA,37326,"17th and Chew Streets","TRUE PERFORMANCE IND","Y"
"Allentown","LVPG FAMILY MEDICINE 1251 CEDAR CREST",21,0.884,5,38,43,0,0,37326,"1251 South Cedar Crest Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","ST LUKES WALBERT AVENUE MEDICAL CENTER",40,0.708,1,17,24,3,4,66485.4639,"2428 Walbert Avenue","TRUE PERFORMANCE PLUS COMM","Y"
"Allentown","LVPG FAMILY AND INTERNAL MEDICINE 3080 HAMILTON BOULEVARD",19,0.889,5,16,18,0,0,52682.3905,"3080 Hamilton Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","SH CHEW ST PRIMARY CARE",1,1,5,4,4,NA,NA,27520.1629,"451 W Chew Street","TRUE PERFORMANCE","Y"
"Allentown","SH PRIMARY CARE WALBERT",35,0.8,2,12,15,1,1,66485.4639,"3420 Walbert Avenue","TRUE PERFORMANCE","Y"
"Allentown","LVPG PULMONARY AND CRITICAL CARE MEDICINE",42,0.667,1,2,3,NA,NA,52682.3905,"1250 South Cedar Crest Boulevard","","Y"
"Allentown","LVPG FAMILY AND INTERNAL MEDICINE CENTER VALLEY",30,0.824,3,14,17,1,1,52682.3905,"1255 South Cedar Crest Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","LVPG FAMILY MEDICINE CETRONIA",38,0.789,2,30,38,2,3,66485.4639,"250 Cetronia Road","TRUE PERFORMANCE IND","Y"
"Allentown","ROSENFELD VANWIRT PC",1,1,5,3,3,NA,NA,66485.4639,"1605 North Cedar Crest Boulevard","","Y"
"Allentown","ST LUKES EMAUS AVENUE FAMILY PRACTICE",1,1,5,9,9,NA,NA,52682.3905,"1101 West Emaus Avenue","TRUE PERFORMANCE PLUS COMM","Y"
"Allentown","LVPG ORTHOPEDICS AND SPORTS MEDICINE",1,1,5,4,4,NA,NA,52682.3905,"1250 South Cedar Crest Boulevard","","Y"
"Allentown","LVPG INTERNAL MEDICINE 1255 CEDAR CREST",15,0.938,5,15,16,0,0,52682.3905,"1255 South Cedar Crest Boulevard","TRUE PERFORMANCE IND","Y"
