"ID","practice_Name","Lon","Lat","Zip","Med_Household","Mean_Household","Pop_of_Zip","Measure","Weight","Compliance","Denominator","Numerator","Star_Rating","Aggregate_Stars","Cut2","Cut3","Cut4","Cut5","Needed2","Needed3","Needed4","Needed5","Needed_Next","Gap_Worth","Address","Address_2","City","State","Program","Entity","Health_System","FreedomBlue","SecurityBlue","WV_FreedomBlue","Stars_Par","practice_Mbr_Count"
"000001795","DITOPPA, LOUIS A DO",-79.8102163,40.3387421,15131,46296.0262,57736.626,8987,"C17: Disease Modifying Anti-Rheumatic Drug Therapy for Rheumatoid Arthritis",1,1,2,2,5,3.67,0.65,0.73,0.81,0.88,NA,NA,NA,NA,NA,NA,"1978 Lincoln Way","","White Oak","PA","TRUE PERFORMANCE IND","QUALITY CARE PARTNERS PC TRUE PERFORMANCE","","","Y","","Y",188
"000003926","FAMILY FIRST HEALTH",-76.7271117,39.9606001,17401,24338.2901,33700.8782,16244,"C17: Disease Modifying Anti-Rheumatic Drug Therapy for Rheumatoid Arthritis",1,0.5,2,1,1,1.55,0.65,0.73,0.81,0.88,NA,NA,NA,NA,NA,NA,"116 South George Street","","York","PA","TRUE PERFORMANCE","FAMILY FIRST HEALTH TRUE PERFORMANCE","","Y","","","Y",30
"000005944","RANDY R SHEMER DO",-80.2871554,40.6062659,15001,49623.6499,59542.5742,35062,"C17: Disease Modifying Anti-Rheumatic Drug Therapy for Rheumatoid Arthritis",1,1,1,1,5,2.41,0.65,0.73,0.81,0.88,NA,NA,NA,NA,NA,NA,"2424 Mill Street","","Aliquippa","PA","TRUE PERFORMANCE AHN","PHYSICIAN PARTNERS OF WESTERN PA LLC TRUE PERFORMANCE","","","Y","","Y",178
"000008507","HOOVER MEDICAL ASSOCIATES PC",-79.9856207,40.4362085,15219,22397.3403,36155.4002,19320,"C17: Disease Modifying Anti-Rheumatic Drug Therapy for Rheumatoid Arthritis",1,1,4,4,5,4.73,0.65,0.73,0.81,0.88,NA,NA,NA,NA,NA,NA,"1400 Locust Street","Suite 5105","Pittsburgh","PA","","","","","Y","","Y",135
"000008697","WILLIAM H BOYLE MD PC",-75.864287,41.297641,18704,42131.9256,52939.5563,32622,"C17: Disease Modifying Anti-Rheumatic Drug Therapy for Rheumatoid Arthritis",1,0,1,0,1,4,0.65,0.73,0.81,0.88,NA,NA,NA,NA,NA,NA,"1732 Wyoming Avenue","","Forty Fort","PA","TRUE PERFORMANCE","WILLIAM H BOYLE MD PC TRUE PERFORMANCE","","Y","","","Y",40
"000010606","LGHP PENN MEDICINE FAMILY MEDICINE STRASBURG",-76.1896491,39.9848924,17579,62412.821,72517.5038,5767,"C17: Disease Modifying Anti-Rheumatic Drug Therapy for Rheumatoid Arthritis",1,0,1,0,1,3.16,0.65,0.73,0.81,0.88,NA,NA,NA,NA,NA,NA,"1135 Hampden Drive","","Strasburg","PA","LGH ACO","LANCASTER GENERAL HEALTH COMMUNITY CARE COLLABORATIVE","LANCASTER GENERAL HOSPITAL","Y","","","Y",61
"000010857","DOCTORS URGENT CARE",-80.6934144,40.0791634,26003,41655.1635,54798.8699,43002,"C17: Disease Modifying Anti-Rheumatic Drug Therapy for Rheumatoid Arthritis",1,1,1,1,5,4,0.65,0.73,0.81,0.88,NA,NA,NA,NA,NA,NA,"24 Homestead Avenue","","Wheeling","WV","","","","","","Y","Y",13
"000014582","CENTERVILLE CLINICS INC",-79.9869852,40.0476,15333,49369.4259,55540.5283,2277,"C17: Disease Modifying Anti-Rheumatic Drug Therapy for Rheumatoid Arthritis",1,0.714,7,5,2,3.37,0.65,0.73,0.81,0.88,NA,NA,NA,NA,NA,NA,"1070 Old National Pike Road","","Fredericktown","PA","TRUE PERFORMANCE PLUS COMM","WASHINGTON PHYSICIAN HOSPITAL ORGANIZATION TRUE PERFORMANCE","","","Y","","Y",949
"000015710","REILLY JR. PHILIP JEROME, MD",-79.7416988,40.1537305,15479,48018.9828,58796.7684,2315,"C17: Disease Modifying Anti-Rheumatic Drug Therapy for Rheumatoid Arthritis",1,1,4,4,5,2.9,0.65,0.73,0.81,0.88,NA,NA,NA,NA,NA,NA,"237 Second Street","","Smithton","PA","","","","","Y","","Y",65
"000015797","PETRO, DIMITRI M, MD",-79.8558231,40.1795802,15033,28286.983,39457.636,5770,"C17: Disease Modifying Anti-Rheumatic Drug Therapy for Rheumatoid Arthritis",1,0.667,3,2,2,2.73,0.65,0.73,0.81,0.88,NA,NA,NA,NA,NA,NA,"718 McKean Avenue","","Donora","PA","TRUE PERFORMANCE PLUS COMM","VALE U HEALTH PHYSICIAN ORGANIZATION TRUE PERFORMANCE","","","Y","","Y",39
