"ID","practice_Name","Lon","Lat","Zip","Med_Household","Mean_Household","Pop_of_Zip","Measure","Weight","Compliance","Denominator","Numerator","Star_Rating","Aggregate_Stars","Cut2","Cut3","Cut4","Cut5","Needed2","Needed3","Needed4","Needed5","Needed_Next","Gap_Worth","Address","Address_2","City","State","Program","Entity","Health_System","FreedomBlue","SecurityBlue","WV_FreedomBlue","Stars_Par","practice_Mbr_Count"
"000001702","NELSON, LAWRENCE J MD",-79.9436399,40.3249199,15236,55607.3086,65950.9892,30298,"C12: Osteoporosis Management in Women who had a Fracture",1,0,1,0,1,2,0.27,0.45,0.6,0.78,NA,NA,NA,NA,NA,NA,"777 Clairton Boulevard","","Pittsburgh","PA","","","","","Y","","Y",28
"000001795","DITOPPA, LOUIS A DO",-79.8102163,40.3387421,15131,46296.0262,57736.626,8987,"C12: Osteoporosis Management in Women who had a Fracture",1,0,1,0,1,3.67,0.27,0.45,0.6,0.78,NA,NA,NA,NA,NA,NA,"1978 Lincoln Way","","White Oak","PA","TRUE PERFORMANCE IND","QUALITY CARE PARTNERS PC TRUE PERFORMANCE","","","Y","","Y",188
"000002297","INTEGRATED MEDICAL GROUP INT MED",-76.1858908,40.7033851,17901,39292.0361,48297.2029,26494,"C12: Osteoporosis Management in Women who had a Fracture",1,0.667,3,2,4,2.43,0.27,0.45,0.6,0.78,NA,NA,NA,NA,NA,NA,"48 Tunnel Road","Suite 204","Pottsville","PA","TRUE PERFORMANCE","INTEGRATED MEDICAL GROUP PC TRUE PERFORMANCE","","Y","","","Y",191
"000004168","BEATTY, LAWRENCE THOMAS MD",-78.8479875,40.2779613,15904,43655.3817,62380.9029,17093,"C12: Osteoporosis Management in Women who had a Fracture",1,1,1,1,5,2.72,0.27,0.45,0.6,0.78,NA,NA,NA,NA,NA,NA,"201 College Park Plaza","Suite 2","Johnstown","PA","","","","","Y","","Y",59
"000005944","RANDY R SHEMER DO",-80.2871554,40.6062659,15001,49623.6499,59542.5742,35062,"C12: Osteoporosis Management in Women who had a Fracture",1,1,4,4,5,2.41,0.27,0.45,0.6,0.78,NA,NA,NA,NA,NA,NA,"2424 Mill Street","","Aliquippa","PA","TRUE PERFORMANCE AHN","PHYSICIAN PARTNERS OF WESTERN PA LLC TRUE PERFORMANCE","","","Y","","Y",178
"000008507","HOOVER MEDICAL ASSOCIATES PC",-79.9856207,40.4362085,15219,22397.3403,36155.4002,19320,"C12: Osteoporosis Management in Women who had a Fracture",1,0.667,3,2,4,4.73,0.27,0.45,0.6,0.78,NA,NA,NA,NA,NA,NA,"1400 Locust Street","Suite 5105","Pittsburgh","PA","","","","","Y","","Y",135
"000008750","DALLAS FAMILY PRACTICE LLC",-75.9638773,41.336771,18612,55570.2712,73757.2207,16004,"C12: Osteoporosis Management in Women who had a Fracture",1,0,4,0,1,3.7,0.27,0.45,0.6,0.78,NA,NA,NA,NA,NA,NA,"16 Church Street","","Dallas","PA","TRUE PERFORMANCE","DALLAS FAMILY PRACTICE LLC TRUE PERFORMANCE","","Y","","","Y",92
"000014582","CENTERVILLE CLINICS INC",-79.9869852,40.0476,15333,49369.4259,55540.5283,2277,"C12: Osteoporosis Management in Women who had a Fracture",1,0.3,10,3,2,3.37,0.27,0.45,0.6,0.78,0,2,3,5,0,0,"1070 Old National Pike Road","","Fredericktown","PA","TRUE PERFORMANCE PLUS COMM","WASHINGTON PHYSICIAN HOSPITAL ORGANIZATION TRUE PERFORMANCE","","","Y","","Y",949
"000015710","REILLY JR. PHILIP JEROME, MD",-79.7416988,40.1537305,15479,48018.9828,58796.7684,2315,"C12: Osteoporosis Management in Women who had a Fracture",1,0,1,0,1,2.9,0.27,0.45,0.6,0.78,NA,NA,NA,NA,NA,NA,"237 Second Street","","Smithton","PA","","","","","Y","","Y",65
"000015797","PETRO, DIMITRI M, MD",-79.8558231,40.1795802,15033,28286.983,39457.636,5770,"C12: Osteoporosis Management in Women who had a Fracture",1,0,2,0,1,2.73,0.27,0.45,0.6,0.78,NA,NA,NA,NA,NA,NA,"718 McKean Avenue","","Donora","PA","TRUE PERFORMANCE PLUS COMM","VALE U HEALTH PHYSICIAN ORGANIZATION TRUE PERFORMANCE","","","Y","","Y",39
"000020410","LGHP PENN MEDICINE FAMILY MEDICINE NEW HOLLAND",-76.0676098,40.1095883,17557,52933.4658,64708.9864,12822,"C12: Osteoporosis Management in Women who had a Fracture",1,1,1,1,5,4.09,0.27,0.45,0.6,0.78,NA,NA,NA,NA,NA,NA,"676 East Main Street","","New Holland","PA","LGH ACO","LANCASTER GENERAL HEALTH COMMUNITY CARE COLLABORATIVE","LANCASTER GENERAL HOSPITAL","Y","","","Y",119
