"City","Practice_Name","City.Rank","Compliance","Star_Rating","Numerator","Denominator","Needed4","Needed5","Med_Household","Address","Program","Stars_Par"
"Albion","ALBION FAMILY PRACTICE",1,1,5,21,21,0,0,45413.8463,"155 East State Street","TRUE PERFORMANCE AHN","Y"
"Albrightsville","CMS PENN KIDDER",1,1,5,7,7,NA,NA,52147.0647,"2588 State Route 903","TRUE PERFORMANCE","Y"
"Albrightsville","ST LUKES ALBRIGHTSVILLE INTERNAL MEDICINE",1,1,5,11,11,0,0,52147.0647,"2599 State Route 903","TRUE PERFORMANCE PLUS COMM","Y"
"Aliquippa","RANDY R SHEMER DO",1,1,5,67,67,0,0,49623.6499,"2424 Mill Street","TRUE PERFORMANCE AHN","Y"
"Aliquippa","MOKA, GANAPATHI  RAO, MD",1,1,5,11,11,0,0,49623.6499,"2450 Mill St","","Y"
"Aliquippa","SINGH, AMAR, J, MD",1,1,5,26,26,0,0,49623.6499,"1 Hospital Drive","TRUE PERFORMANCE PLUS COMM","Y"
"Aliquippa","HVMG JAMES TATUM",6,0.993,5,136,137,0,0,49623.6499,"2299 Brodhead Rd","TRUE PERFORMANCE PLUS COMM","Y"
"Aliquippa","HVMG FAMILY PRACTICE ASSOC HOPEWELL",6,0.993,5,133,134,0,0,49623.6499,"99 Buss Rd","TRUE PERFORMANCE PLUS COMM","Y"
"Aliquippa","SIA, JOSE K MD",1,1,5,8,8,NA,NA,49623.6499,"2285 Brodhead Road","","Y"
"Aliquippa","HVMG INTERNAL MEDICINE SPECIALISTS",8,0.991,5,110,111,0,0,49623.6499,"3113 Green Garden Rd","TRUE PERFORMANCE PLUS COMM","Y"
"Aliquippa","PERSONAL CARE MEDICAL ASSOCIATES LLC",1,1,5,19,19,0,0,49623.6499,"2349 Mill Street","","Y"
"Allentown","OAA ORTHOPAEDIC SPECIALISTS",36,0.857,3,6,7,NA,NA,66485.4639,"250 Cetronia Road","BUNDLES SHARED SAVINGS","Y"
"Allentown","COMPREHENSIVE PAIN CENTER",40,0.667,1,2,3,NA,NA,66485.4639,"4825 West Tilghman Street","","Y"
"Allentown","VALLEY FAMILY PRACTICE",1,1,5,15,15,0,0,52682.3905,"2319 Union Boulevard","TRUE PERFORMANCE PLUS COMM","Y"
"Allentown","SACRED HEART PRIMARY CARE",1,1,5,8,8,NA,NA,66485.4639,"3570 Hamilton Boulevard","TRUE PERFORMANCE","Y"
"Allentown","OAKWOOD MEDICAL CENTER",1,1,5,11,11,0,0,27520.1629,"451 West Chew Street","TRUE PERFORMANCE","Y"
"Allentown","CEDAR CREST EMERGI CENTER",42,0.588,1,10,17,6,7,52682.3905,"1101 South Cedar Crest Boulevard","","Y"
