"City","Practice_Name","City.Rank","Compliance","Star_Rating","Numerator","Denominator","Needed4","Needed5","Med_Household","Address"
"Albion","ALBION FAMILY PRACTICE",1,0.8,3,4,5,NA,NA,45413.8463,"155 East State Street"
"Aliquippa","SIA, JOSE K MD",2,0.667,2,2,3,NA,NA,49623.6499,"2285 Brodhead Road"
"Aliquippa","HVMG INTERNAL MEDICINE SPECIALISTS",1,0.714,2,5,7,NA,NA,49623.6499,"3113 Green Garden Rd"
"Allentown","LVPG FAMILY MEDICINE 3080 HAMILTON BOULEVARD",1,1,5,4,4,NA,NA,52682.3905,"3080 Hamilton Boulevard"
"Allentown","LVPG INTERNAL MEDICINE 1230 CEDAR CREST",2,0.75,3,3,4,NA,NA,52682.3905,"1230 South Cedar Crest Boulevard"
"Allentown","LVPG FAMILY MEDICINE CETRONIA",3,0.667,2,2,3,NA,NA,66485.4639,"250 Cetronia Road"
"Altoona","UPMC ALTOONA REGIONAL HEALTH SERVICES INC",1,0.865,4,32,37,0,1,40860.9792,"1414 Ninth Avenue"
"Altoona","PINECROFT MEDICAL CENTER",3,0.667,2,2,3,NA,NA,40860.9792,"417 Sabbath Rest Road"
"Altoona","REINHARDT FAMILY PRACTICE",2,0.75,3,6,8,NA,NA,40571.0686,"1701 12th Avenue"
"Ambridge","HVMG INTERNAL MEDICINE ASSOCIATES",1,0.9,5,9,10,0,0,39157.7213,"1155 Merchant Street"
"Annville","PINNACLEHEALTH ANNVILLE FAMILY MEDICINE",1,0.667,2,4,6,NA,NA,58347.9183,"1251 East Main Street"
"Aspinwall","PRIME CARE MEDICAL ASSOCIATES UPMC",1,0.667,2,2,3,NA,NA,73584.7475,"241-251 Freeport Road"
"Baden","HVMG BADEN AREA HEALTHCARE SERVICES",1,0.667,2,4,6,NA,NA,63009.2585,"210 Ohio River Boulevard"
"Beaver","HVMG VALLEY INTERNAL MEDICINE",3,0.737,3,14,19,2,3,54197.327,"500 Sharon Road"
"Beaver","HVMG BEAVER INTERNAL MEDICINE BEAVER",1,0.778,3,7,9,NA,NA,54197.327,"1000 Dutch Ridge Rd."
"Beaver","HVMG ASSOCIATES OF INTERNAL MEDICINE",2,0.75,3,6,8,NA,NA,54197.327,"1211 Third Street"
"Beaver Falls","HVMG BEAVER INTERNAL MEDICINE BEAVER FALLS",4,0.429,1,3,7,NA,NA,44790.9274,"1307 Sixth Avenue"
"Beaver Falls","HVMG TRINITY",3,0.643,1,9,14,3,4,44790.9274,"2580 Constitution Boulevard"
"Beaver Falls","HERITAGE VALLEY FP- GUFFEY",1,1,5,5,5,NA,NA,44790.9274,"2580 Constution Blvd"
"Beaver Falls","HERITAGE VALLEY FAMILY PRACTICE GRIECO",2,0.75,3,3,4,NA,NA,44790.9274,"2620 Constitution Boulevard"
"Belle Vernon","TRI COUNTY MEDICAL PRACTICE LLC",1,1,5,5,5,NA,NA,34703.0682,"515 Broad Avenue"
"Belle Vernon","PRIME MEDICAL GROUP PCG1-CHAUHAN ASSOCS",3,0.571,1,8,14,4,5,34703.0682,"1533 Broad Avenue"
"Belle Vernon","MON VALE PRIMARY CARE PRACTICES INC",2,0.889,5,8,9,NA,NA,34703.0682,"800 Plaza Drive"
"Bellefonte","GMG BELLEFONTE FAMILY PRACTICE",1,1,5,3,3,NA,NA,45299.856,"819 East Bishop Street"
"Bentleyville","SOUTHWEST MEDICAL CENTER",1,0.889,5,8,9,NA,NA,37552.2931,"119 Wilson Road"
"Bethel Park","SOUTH HILLS FAMILY MEDICINE LLC",2,0.875,4,7,8,NA,NA,64384.8337,"1000 Higbee Drive"
"Bethel Park","PPCP BOBBY AND KOTAR",3,0.75,3,3,4,NA,NA,64384.8337,"2000 Oxford Drive"
"Bethel Park","MT LEBANON INTERNAL MEDICINE DIVISION",1,0.889,5,8,9,NA,NA,64384.8337,"2000 Oxford Drive"
"Bethlehem","YEVELSON INTERNAL MEDICINE PC",1,1,5,3,3,NA,NA,46494.3983,"1330 Center Street"
"Bethlehem","LVPG FAMILY AND INTERNAL MEDICINE BETHLEHEM TOWNSHIP",1,1,5,3,3,NA,NA,74018.1998,"2101 Emrick Boulevard"
"Bethlehem","LVPG INTERNAL MEDICINE MUHLENBERG",4,0.8,3,4,5,NA,NA,64939.0495,"2649 Schoenersville Road"
"Bethlehem","LEHIGH VALLEY FAMILY PRACTICE ASSOCIATES",1,1,5,3,3,NA,NA,64939.0495,"190 Brodhead Road"
"Blairsville","KLAIN, MATTHEW N MD PC",1,0.333,1,1,3,NA,NA,41477.3677,"25 Colony Boulevard"
"Bradford","BRADFORD FAMILY MEDICINE INC",1,0.333,1,1,3,NA,NA,39327.9581,"14 North Third Street"
"Brentwood","LINDENBAUM PERRYMAN AND ASSOCS UPMC",1,0.667,2,2,3,NA,NA,48093.906,"3000 Brownsville Road"
"Bridgeville","BEEREL MEDICAL LLC",2,0,1,0,8,NA,NA,55631.7796,"1370 Washington Pike"
"Bridgeville","PPCP CHARTIERS VALLEY",1,0.6,1,3,5,NA,NA,55631.7796,"1168 Washington Pike"
"Brookville","PCA OF W PA PC",1,0.25,1,1,4,NA,NA,39899.2667,"477 Route 28"
"Burgettstown","WMC PHYSICIAN PRACTICES LLC",1,1,5,5,5,NA,NA,49782.601,"560 Steubenville Pike"
"Butler","BUTLER MEDICAL ASSOCIATES",3,0.8,3,8,10,1,1,41653.157,"1022B North Main Street"
"Butler","PRIMARY CARE ASSOCIATES OF BUTLER",2,0.889,5,8,9,NA,NA,41653.157,"480 East Jefferson Street"
"Butler","FAMILY MEDICINE OF BUTLER PC",4,0.667,2,2,3,NA,NA,41653.157,"1022 A North Main Street"
"Butler","BHS NALLATHAMBI MEDICAL ASSOC PLLC",1,1,5,5,5,NA,NA,41653.157,"131 East Cunningham Street"
"Camp Hill","PINNACLEHEALTH INTERNAL MEDICINE CAMP HILL",1,1,5,3,3,NA,NA,55466.5249,"4400 Carlisle Pike"
"Camp Hill","AZIZKHAN INTERNAL MEDICINE ASSOCIATES",1,1,5,4,4,NA,NA,55466.5249,"888 Poplar Church Road"
"Camp Hill","GEISINGER HOLY SPIRIT FAMILY MEDICINE YELLOW BREECHES",3,0.667,2,2,3,NA,NA,55466.5249,"1800 Carlisle Road"
"Carlisle","MASLAND ASSOCIATES INC",1,1,5,4,4,NA,NA,54127.8466,"220 Wilson Street"
"Carnegie","PPCP CIVITARESE SPECA BOVALINO",1,0.75,3,9,12,1,2,48659.4928,"2375 Greentree Road"
"Carrolltown","CONEMAUGH PHYSICIAN GROUP ST BENEDICT RURAL HEALTH CLINIC",1,1,5,5,5,NA,NA,43570.8092,"564 Theatre Road"
"Chambersburg","BALHARA INT MEDC ASSOC PC",1,1,5,3,3,NA,NA,41306.941,"761 Fifth Avenue"
"Chambersburg","KEYSTONE HEALTH CENTER INTERNAL MEDICINE",2,0.667,2,2,3,NA,NA,41306.941,"830 Fifth Avenue"
"Charleroi","DERIENZO FAMILY PRACTICE",1,0.5,1,2,4,NA,NA,34738.4174,"17 Arentzen Boulevard"
"Cheswick","SMA DEERLAKES PC",1,1,5,5,5,NA,NA,57494.3752,"221 Russellton Dorseyville Road"
"Clairton","JEFFERSON INTERNAL MEDICINE PC",1,0.5,1,3,6,NA,NA,49377.46,"575 Coal Valley Road"
"Clarion","CLARION COMMUNITY MEDICINE UPMC",1,0.667,2,2,3,NA,NA,30947.1747,"22681 Route 68"
"Claysburg","PRIMARY CARE CLAYSBURG",1,1,5,5,5,NA,NA,38595.925,"365 Ward Street"
"Clinton","HVMG JOHN BAYUK",1,0.667,2,2,3,NA,NA,60914.1126,"1254 Route 30"
"Clymer","DROZDIAK, RUSSELL A",1,0.75,3,3,4,NA,NA,46539.0923,"349 Franklin Street"
"Coalport","GLENDALE AREA MEDICAL ASSOCIATION INC",1,0.5,1,2,4,NA,NA,30188.0172,"850 Main Street"
"Connellsville","HIGHLANDS HOSPITAL PHYSICIANS",1,1,5,3,3,NA,NA,35335.2888,"814 Vanderbilt Road"
"Coraopolis","HVMG FIFTH AVENUE MEDICAL ASSOCIATES",1,1,5,4,4,NA,NA,64014.305,"1101 Fifth Avenue"
"Cowansville","CLIFFORD VOGAN MD PC",1,0.333,1,1,3,NA,NA,41258.1476,"882 East Brady Road"
"Cranberry Township","GORDON GOLD MD AND ASSOC UPMC",3,0.333,1,1,3,NA,NA,89921.3171,"3104 Unionville Road"
"Cranberry Township","GMA SCHOGEL AND FARDO FAMILY MED",1,1,5,9,9,NA,NA,89921.3171,"213 Executive Drive"
"Cranberry Township","CRANBERRY INTERNAL MEDICINE ASSOCIATES",1,1,5,5,5,NA,NA,89921.3171,"20826 Route 19"
"Cresson","UPMC MAINLINE MEDICAL ASSOCIATES",1,0.8,3,16,20,1,2,38782.2368,"792 Gallitzin Road"
"Delmont","DRS WAHAL ARIFF AND MARGOLIS UPMC",1,0.333,1,1,3,NA,NA,54224.952,"6530 Route 22"
"Donora","PETRO, DIMITRI M, MD",1,0.667,2,2,3,NA,NA,28286.983,"718 McKean Avenue"
"DuBois","PENN HIGHLANDS INTERNAL MEDICINE GOYAL AND PAREKH",1,0.5,1,2,4,NA,NA,42816.3343,"145 Hospital Avenue"
"Easton","LVPG INTERNAL MEDICINE NAZARETH ROAD",1,1,5,3,3,NA,NA,69973.5931,"3735 Nazareth Road"
"Edinboro","EDINBORO MEDICAL CENTER",1,0.6,1,3,5,NA,NA,49852.2454,"450 Erie Street"
"Eighty Four","KEVIN BOEHME MD AND ASSOCIATES PC",1,0.8,3,4,5,NA,NA,59155.4859,"845 Route 519"
"Elizabeth","WEIGLES HILL FAMILY MEDICINE",1,0.25,1,1,4,NA,NA,50931.1452,"1001 Weigles Hill Road"
