"City","Practice_Name","City.Rank","Compliance","Star_Rating","Numerator","Denominator","Needed4","Needed5","Med_Household","Address"
"Albion","ALBION FAMILY PRACTICE",1,0.8,5,8,10,0,0,45413.8463,"155 East State Street"
"Albrightsville","CMS PENN KIDDER",1,0.375,2,3,8,NA,NA,52147.0647,"2588 State Route 903"
"Aliquippa","RANDY R SHEMER DO",5,0.297,1,11,37,11,16,49623.6499,"2424 Mill Street"
"Aliquippa","MOKA, GANAPATHI  RAO, MD",7,0,1,0,3,NA,NA,49623.6499,"2450 Mill St"
"Aliquippa","SINGH, AMAR, J, MD",6,0.043,1,1,23,13,16,49623.6499,"1 Hospital Drive"
"Aliquippa","HVMG JAMES TATUM",2,0.727,5,40,55,0,0,49623.6499,"2299 Brodhead Rd"
"Aliquippa","HVMG FAMILY PRACTICE ASSOC HOPEWELL",4,0.474,3,37,78,10,20,49623.6499,"99 Buss Rd"
"Aliquippa","SIA, JOSE K MD",7,0,1,0,3,NA,NA,49623.6499,"2285 Brodhead Road"
"Aliquippa","HVMG INTERNAL MEDICINE SPECIALISTS",3,0.618,4,47,76,0,8,49623.6499,"3113 Green Garden Rd"
"Aliquippa","PERSONAL CARE MEDICAL ASSOCIATES LLC",1,0.73,5,54,74,0,0,49623.6499,"2349 Mill Street"
"Allentown","COMPREHENSIVE PAIN CENTER",23,0.333,2,1,3,NA,NA,66485.4639,"4825 West Tilghman Street"
"Allentown","SACRED HEART PRIMARY CARE",19,0.6,4,3,5,NA,NA,66485.4639,"3570 Hamilton Boulevard"
"Allentown","CEDAR CREST EMERGI CENTER",30,0,1,0,3,NA,NA,52682.3905,"1101 South Cedar Crest Boulevard"
"Allentown","BOGNET MEDICAL ASSOCIATES PC",23,0.333,2,1,3,NA,NA,52682.3905,"1275 South Cedar Crest Boulevard"
"Allentown","HANOVER FAMILY MEDICAL GROUP",29,0.1,1,1,10,5,7,40801.9732,"1202 Hanover Avenue"
"Allentown","LVPG GERIATRICS MEDICINE",27,0.25,1,1,4,NA,NA,66485.4639,"17th and Chew Streets"
"Allentown","LVPG INTERNAL MEDICINE 3080 HAMILTON BOULEVARD",13,0.72,5,18,25,0,0,52682.3905,"3080 Hamilton Boulevard"
"Allentown","LVPG LEHIGH VALLEY FAMILY HEALTH CENTER",5,0.889,5,8,9,NA,NA,66485.4639,"1730 Chew Street"
"Allentown","CONNELLY FAMILY PRACTICE",14,0.714,4,5,7,NA,NA,66485.4639,"501 North 17th Street"
